A_0	A_1	A_2	A_3	A_4	A_5	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	R_8	R_9	R_10	R_11	R_12	R_13	R_14	R_15	R_16	R_17	R_18	R_19	R_20	R_21	R_22	R_23	R_24	R_25	R_26	R_27	R_28	R_29	R_30	R_31	R_32	R_33	R_34	R_35	R_36	R_37	R_38	R_39	R_40	R_41	R_42	R_43	R_44	R_45	R_46	R_47	R_48	R_49	R_50	R_51	R_52	R_53	R_54	R_55	R_56	R_57	R_58	R_59	R_60	R_61	R_62	R_63	Class
1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1
1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0
0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0
1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0
1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1
1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0
1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0
0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0
1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1
0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0
0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1	0	1
1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0
0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1
0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	1	1	0
0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1
0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0
1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0
1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0
0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1
0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1
0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1
1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0
0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0
1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0
1	1	0	1	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1
1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0
1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	0
0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1
0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1
1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0
0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1
0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0
1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1
1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1
0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0
1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1
0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1
0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1
1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1
1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1
0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1
1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0
0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1
1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0
0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0
0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1
0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0
0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1
0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0
1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1
1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0
0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0
1	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0
0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0
0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1
1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0
1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1
0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1
0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1
1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0
0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0
0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0
0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0
0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1
1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0
1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1
0	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1
0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0
0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1
0	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1
0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0
0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0
0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1
1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0
1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1
1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1
1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1
1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1
0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0
0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0
0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1
0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1
1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1
1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0
0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1
0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0
0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	0
0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1
1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0
0	1	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1
0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1
0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1
